COUNTY,FIPS Code,BIDEN VOTES,BIDEN PCT,TRUMP VOTES,TRUMP PCT,PERDUE VOTES,PERDUE PCT,OSSOFF VOTES,OSSOFF PCT,WARNOCK VOTES,WARNOCK PCT,LOEFFLER VOTES,LOEFFLER PCT
Jenkins County,13165,"1,266",36.6,"2,161",62.5,"2,155",63.4,"1,194",35.1,806,23.9,"1,104",32.8
Johnson County,13167,"1,222",29.8,"2,850",69.5,"2,801",69.4,"1,158",28.7,763,19.3,"1,376",34.7
Jones County,13169,"4,888",32.7,"9,965",66.6,"9,854",66.4,"4,687",31.6,"3,496",23.7,"5,397",36.6
Lamar County,13171,"2,615",28.9,"6,330",70,"6,280",69.9,"2,511",27.9,"1,994",22.3,"3,243",36.3
Lanier County,13173,"1,019",28.5,"2,509",70.2,"2,481",70.5,944,26.8,365,10.6,"1,191",34.7
Laurens County,13175,"8,073",35.5,"14,493",63.8,"14,363",63.9,"7,698",34.3,"5,334",23.9,"6,592",29.5
Lee County,13177,"4,558",27.3,"12,007",71.8,"11,862",71.6,"4,424",26.7,"2,970",18,"6,365",38.7
Liberty County,13179,"13,051",61.2,"7,944",37.3,"7,728",36.7,"12,695",60.4,"7,713",36.9,"3,755",18
Lincoln County,13181,"1,435",30.9,"3,179",68.4,"3,139",68.3,"1,371",29.8,803,17.6,"1,725",37.8
Long County,13183,"2,033",35.9,"3,528",62.4,"3,389",60.7,"2,029",36.4,"1,233",22.3,"1,708",30.9
Lowndes County,13185,"20,117",43.4,"25,691",55.4,"25,620",56,"19,124",41.8,"7,931",17.6,"12,607",27.9
Lumpkin County,13187,"3,126",20.1,"12,163",78.3,"11,941",77.7,"2,926",19,"2,042",13.3,"4,366",28.5
Macon County,13189,"2,857",61.3,"1,783",38.2,"1,787",38.9,"2,727",59.4,"1,987",43.6,823,18.1
Madison County,13191,"3,411",22.8,"11,326",75.8,"11,136",75.3,"3,303",22.3,"2,284",15.6,"4,808",32.8
Marion County,13193,"1,311",36.2,"2,275",62.8,"2,248",62.5,"1,267",35.2,849,23.9,"1,078",30.4
McDuffie County,13195,"4,168",39.9,"6,169",59,"6,198",59.8,"3,968",38.3,"2,387",23.2,"3,503",34
McIntosh County,13197,"2,612",39,"4,016",60,"3,967",60.1,"2,498",37.8,"1,545",23.8,"2,117",32.6
Meriwether County,13199,"4,287",39.4,"6,524",60,"6,432",59.8,"4,135",38.4,"3,018",28.2,"3,255",30.4
Miller County,13201,749,26.4,"2,066",72.9,"2,047",73.6,687,24.7,271,10.3,881,33.3
Mitchell County,13205,"3,995",44.6,"4,935",55.1,"4,921",55.5,"3,832",43.2,"2,598",29.5,"2,090",23.7
Monroe County,13207,"4,384",28.1,"11,060",70.9,"10,929",70.8,"4,205",27.3,"3,197",20.8,"6,077",39.6
Montgomery County,13209,979,24.7,"2,960",74.6,"2,927",74.7,931,23.8,582,15.2,"1,332",34.7
Morgan County,13211,"3,355",28.7,"8,230",70.3,"8,259",71,"3,151",27.1,"2,392",20.7,"4,360",37.7
Murray County,13213,"2,302",15,"12,943",84.1,"12,493",82.5,"2,296",15.2,765,5.2,"6,300",42.8
Muscogee County,13215,"49,529",61.5,"30,049",37.3,"30,226",38,"47,552",59.8,"32,560",41,"15,307",19.3
Newton County,13217,"29,794",54.9,"23,869",44,"23,408",43.5,"29,220",54.3,"20,450",38.2,"13,443",25.1
Oconee County,13219,"8,162",32.4,"16,595",65.9,"17,108",68,"7,465",29.7,"5,448",21.9,"9,914",39.8
Oglethorpe County,13221,"2,436",30,"5,593",68.8,"5,500",68.3,"2,323",28.8,"1,720",21.6,"2,901",36.4
Paulding County,13223,"29,704",34.8,"54,525",63.9,"53,485",63.3,"28,755",34,"19,118",22.8,"30,597",36.4
Peach County,13225,"5,920",47.2,"6,502",51.8,"6,483",52.1,"5,702",45.9,"4,032",32.6,"3,358",27.2
Pickens County,13227,"2,808",16.4,"14,075",82.2,"13,860",81.7,"2,678",15.8,"2,076",12.3,"6,003",35.7
Pierce County,13229,"1,100",12.2,"7,899",87.3,"7,810",87.4,"1,002",11.2,478,5.4,"2,821",32.1
Pike County,13231,"1,505",14,"9,127",85.1,"9,045",84.9,"1,430",13.4,"1,118",10.6,"4,965",46.9
Polk County,13233,"3,658",21,"13,589",78.1,"13,282",77.1,"3,537",20.5,"2,331",13.7,"6,942",40.8
Pulaski County,13235,"1,217",30,"2,805",69.1,"2,787",69.6,"1,139",28.4,815,20.5,"1,480",37.2
Putnam County,13237,"3,448",29.1,"8,291",69.9,"8,279",70.4,"3,299",28,"2,445",20.9,"4,208",36
Quitman County,13239,497,44.9,604,54.6,600,55.3,470,43.3,283,26.3,285,26.5
Rabun County,13241,"1,984",20.7,"7,474",78.1,"7,392",78,"1,825",19.3,"1,223",13,"2,475",26.4
Randolph County,13243,"1,671",54.4,"1,391",45.3,"1,404",46.2,"1,606",52.8,"1,179",39,706,23.4
Richmond County,13245,"59,124",67.9,"26,781",30.8,"27,052",31.5,"56,786",66.1,"34,331",40,"15,394",18
Rockdale County,13247,"31,244",69.9,"13,012",29.1,"12,716",28.7,"30,641",69.2,"21,942",49.6,"7,323",16.6
Schley County,13249,462,20.3,"1,800",79.1,"1,783",79,439,19.5,315,14.2,774,34.8
Screven County,13251,"2,661",40.1,"3,916",59.1,"3,893",59.5,"2,589",39.5,"1,685",26.1,"2,078",32.2
Seminole County,13253,"1,254",32.3,"2,611",67.2,"2,597",67.7,"1,187",30.9,419,11.2,"1,021",27.3
Spalding County,13255,"11,784",39.1,"18,057",60,"17,768",59.7,"11,355",38.2,"8,543",28.8,"9,759",32.8
Stephens County,13257,"2,385",20.1,"9,368",78.8,"9,353",79.5,"2,187",18.6,"1,144",9.8,"2,126",18.3
Stewart County,13259,"1,182",59.4,801,40.3,803,41.1,"1,115",57.1,764,40.1,327,17.2
Sumter County,13261,"6,318",52,"5,732",47.2,"5,743",47.8,"6,114",50.9,"4,474",37.4,"2,553",21.3
Talbot County,13263,"2,114",60,"1,392",39.5,"1,386",40.2,"2,013",58.3,"1,531",44.4,677,19.6
Taliaferro County,13265,561,60.5,360,38.8,366,40.6,521,57.8,343,38.8,178,20.1
Tattnall County,13267,"2,061",25.2,"6,053",74,"5,954",73.6,"1,978",24.4,"1,200",15.1,"3,047",38.4
Taylor County,13269,"1,387",36.1,"2,418",63,"2,399",63.3,"1,312",34.6,962,25.5,"1,173",31.1
Telfair County,13271,"1,487",34.3,"2,825",65.2,"2,751",64.7,"1,435",33.7,"1,003",23.9,"1,187",28.3
Terrell County,13273,"2,376",53.8,"2,004",45.4,"2,040",46.6,"2,277",52,"1,508",34.7,"1,058",24.3
Thomas County,13275,"8,708",39.8,"12,954",59.3,"13,020",60.3,"8,158",37.8,"3,809",17.9,"5,725",26.9
Tift County,13277,"5,322",32.7,"10,784",66.2,"10,814",67.3,"4,956",30.8,"3,284",20.5,"5,603",35
Toombs County,13279,"2,939",26.9,"7,872",72.1,"7,793",72.2,"2,832",26.2,"1,760",16.5,"3,456",32.4
Towns County,13281,"1,550",19.4,"6,384",80,"6,291",79.8,"1,451",18.4,"1,017",13,"2,036",25.9
Treutlen County,13283,952,30.9,"2,101",68.3,"2,078",68.7,893,29.5,551,18.6,965,32.5
Troup County,13285,"11,578",38.5,"18,143",60.4,"18,162",60.9,"11,111",37.3,"7,472",25.3,"9,163",31
Turner County,13287,"1,410",37.2,"2,349",61.9,"2,334",62.4,"1,345",36,866,23.3,"1,310",35.2
Twiggs County,13289,"2,044",46,"2,370",53.3,"2,313",52.8,"1,981",45.2,"1,508",34.7,"1,271",29.3
Union County,13291,"2,801",18,"12,651",81.3,"12,423",80.8,"2,616",17,"1,904",12.4,"3,945",25.7
Upson County,13293,"4,201",32.6,"8,608",66.7,"8,568",67,"4,000",31.3,"3,079",24.2,"4,239",33.3
Walker County,13295,"5,769",19.7,"23,174",78.9,"22,650",78.2,"5,435",18.8,"2,113",7.4,"12,258",43
Walton County,13297,"12,634",24.9,"37,617",74,"37,169",73.7,"12,102",24,"8,417",16.8,"22,678",45.2
Ware County,13299,"4,249",29.7,"9,930",69.5,"9,833",69.9,"3,973",28.2,"1,762",12.7,"3,323",24
Warren County,13301,"1,488",55.5,"1,177",43.9,"1,172",44.4,"1,424",53.9,829,31.7,635,24.3
Washington County,13303,"4,730",50,"4,663",49.3,"4,630",49.9,"4,477",48.2,"3,046",33.1,"2,376",25.8
Wayne County,13305,"2,687",21,"9,987",78.2,"9,734",77.1,"2,655",21,"1,660",13.3,"4,791",38.4
Webster County,13307,639,46,748,53.8,736,53.6,626,45.6,443,32.6,324,23.8
Wheeler County,13309,689,30.2,"1,583",69.3,"1,562",69.3,657,29.1,460,20.6,688,30.9
White County,13311,"2,411",16.3,"12,222",82.5,"12,072",82,"2,273",15.4,"1,604",11,"4,033",27.5
Whitfield County,13313,"10,670",29,"25,636",69.8,"25,158",69.3,"10,177",28,"3,876",10.9,"12,905",36.3
Wilcox County,13315,862,26.3,"2,403",73.2,"2,369",73.3,805,24.9,538,16.7,"1,155",35.9
Wilkes County,13317,"2,159",42.9,"2,823",56.1,"2,810",56.8,"2,057",41.6,"1,257",25.6,"1,493",30.4
Wilkinson County,13319,"2,075",43.5,"2,664",55.8,"2,608",55.4,"2,017",42.9,"1,539",32.8,"1,407",30
Worth County,13321,"2,395",25.8,"6,830",73.6,"6,726",73,"2,327",25.3,"1,589",17.4,"3,541",38.8
